entry,exit
34.615,34.63
34.62,34.63
34.63,34.64
34.635,34.62
34.64,34.62
34.64,34.63
34.63,34.62
34.63,34.61
34.63,34.62
34.63,34.61
34.62,34.61
34.62,34.61
34.61,34.58
34.61,34.58
34.58,34.57
34.58,34.57
34.57,34.59
34.565,34.575
34.57,34.59
34.575,34.59
34.59,34.62
34.62,34.6
34.6,34.62
34.6,34.61
34.6,34.62
34.6,34.61
34.61,34.62
34.62,34.64
34.62,34.64
34.64,34.63
34.64,34.66
34.64,34.63
34.63,34.65
34.65,34.67
34.64,34.66
34.66,34.64
34.66,34.64
34.67,34.66
34.66,34.65
34.65,34.63
34.64,34.65
34.65,34.63
34.63,34.62
34.62,34.61
34.62,34.61
34.61,34.62
34.62,34.64
34.62,34.61
34.61,34.64
34.64,34.62
34.63,34.61
34.62,34.6
34.62,34.6
34.62,34.61
34.61,34.6
34.61,34.6
34.61,34.6
34.6,34.59
34.6,34.59
34.59,34.6
34.59,34.6
34.6,34.61
34.61,34.62
34.62,34.63
34.62,34.63
34.63,34.6
34.625,34.625
34.625,34.6
34.6,34.615
34.6,34.63
34.59,34.61
34.6,34.615
34.61,34.6
34.61,34.63
34.61,34.6
34.6,34.615
34.615,34.63
34.62,34.65
34.61,34.63
34.62,34.65
34.61,34.63
34.61,34.62
34.61,34.62
34.61,34.61
34.61,34.62
34.62,34.61
34.61,34.62
34.62,34.61
34.61,34.63
34.62,34.63
34.62,34.62
34.62,34.63
34.63,34.61
34.63,34.62
34.62,34.65
34.61,34.63
34.62,34.61
34.61,34.62
34.62,34.63
34.62,34.63
34.62,34.63
34.63,34.65
34.63,34.65
34.65,34.62
34.64,34.62
34.64,34.62
34.64,34.62
34.62,34.66
34.66,34.63
34.66,34.63
34.65,34.66
34.66,34.63
34.66,34.63
34.63,34.65
34.65,34.63
34.65,34.64
34.65,34.64
34.64,34.63
34.63,34.66
34.64,34.66
34.66,34.65
34.65,34.64
34.65,34.645
34.645,34.62
34.64,34.62
34.62,34.64
34.62,34.64
34.63,34.64
34.64,34.6599
34.65,34.64
34.64,34.6599
34.63,34.64
34.64,34.65
34.64,34.65
34.64,34.65
34.64,34.6599
34.65,34.6599
34.66,34.64
34.65,34.635
34.65,34.635
34.65,34.65
34.65,34.64
34.64,34.65
34.64,34.65
34.65,34.64
34.65,34.64
34.65,34.64
34.65,34.64
34.64,34.625
34.64,34.63
34.635,34.62
34.63,34.625
34.63,34.63
34.63,34.62
34.625,34.635
34.62,34.63
34.62,34.635
34.63,34.65
34.62,34.635
34.625,34.635
34.635,34.65
34.635,34.64
34.64,34.65
34.65,34.64
34.64,34.63
34.63,34.645
34.645,34.66
34.64,34.65
34.645,34.66
34.65,34.64
34.65,34.64
34.64,34.65
34.64,34.64
34.64,34.65
34.65,34.66
34.65,34.67
34.645,34.655
34.645,34.655
34.645,34.655
34.655,34.67
34.65,34.66
34.645,34.66
34.65,34.66
34.645,34.66
34.66,34.67
34.67,34.68
34.67,34.68
34.675,34.68
34.68,34.69
34.69,34.68
34.69,34.68
34.68,34.69
34.675,34.69
34.69,34.71
34.69,34.68
34.69,34.68
34.68,34.69
34.68,34.69
34.69,34.71
34.69,34.7
34.7,34.71
34.7,34.71
34.7,34.71
34.71,34.7
34.71,34.7
34.71,34.7
34.7,34.71
34.71,34.7
34.71,34.69
34.71,34.7
34.71,34.69
34.71,34.69
34.715,34.7
34.71,34.7
34.71,34.7
34.71,34.7
34.7,34.7
34.7,34.69
34.7,34.69
34.69,34.68
34.69,34.68
34.69,34.67
34.68,34.67
34.68,34.67
34.67,34.69
34.67,34.69
34.69,34.68
34.68,34.71
34.69,34.71
34.71,34.73
34.73,34.71
34.71,34.69
34.7,34.69
34.7,34.73
34.69,34.7
34.7,34.69
34.695,34.705
34.69,34.705
34.705,34.69
34.7,34.69
34.7,34.69
34.7,34.7
34.7,34.69
34.69,34.7
34.7,34.73
34.7,34.73
34.73,34.71
34.72,34.73
34.72,34.75
34.73,34.72
34.72,34.75
34.71,34.73
